path,case,platform,gen,label,xception_fold1,xception_fold2,xception_fold3,xception_fold4,xception_fold5,convnext_fold1,convnext_fold2,convnext_fold3,convnext_fold4,convnext_fold5,swin_fold1,swin_fold2,swin_fold3,swin_fold4,swin_fold5,r3d_fold1,r3d_fold2,r3d_fold3,r3d_fold4,r3d_fold5,r2plus1d_fold1,r2plus1d_fold2,r2plus1d_fold3,r2plus1d_fold4,r2plus1d_fold5,videomae_fold1,videomae_fold2,videomae_fold3,videomae_fold4,videomae_fold5
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\real\original\00071.mp4,case1_original,original,real,0,0.12918286,0.15987216,0.19887978,0.12126887,0.17419945,0.19891867,0.82796735,0.109658085,0.2162597,0.109562784,0.10127792,0.011597362,0.14602636,0.29690903,0.01543939,0.99946636,0.9766692,0.9991817,0.9486325,0.91891783,0.9720191,0.99698395,0.99789256,0.98498523,0.9746528,0.95873135,0.9724148,0.9503189,0.95136863,0.9801103
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\real\original\00087.mp4,case1_original,original,real,0,0.11930549,0.14193429,0.08100938,0.08929564,0.2989005,0.20106705,0.20513691,0.34204936,0.42841277,0.09645018,0.30974424,0.04236419,0.041152887,0.0946777,0.22695492,0.9880734,0.8794059,0.994615,0.9853703,0.248443,0.89228123,0.9860577,0.9900828,0.9799574,0.93749756,0.8834373,0.90681833,0.8047898,0.9869795,0.8388118
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\real\original\00107.mp4,case1_original,original,real,0,0.23890516,0.26626188,0.22627032,0.18528292,0.32922995,0.20291662,0.013428255,0.23775287,0.4016878,0.103159875,0.12506539,0.01403657,0.012264915,0.059319146,0.14145924,0.953665,0.69945973,0.9766024,0.8408806,0.1407491,0.97423947,0.98749614,0.9843514,0.96485513,0.9877587,0.7848967,0.77364415,0.30208218,0.9576754,0.05775844
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\real\original\00108.mp4,case1_original,original,real,0,0.18609506,0.058292214,0.10302443,0.21403356,0.087720014,0.19856879,0.21783628,0.22764099,0.19318543,0.18959609,0.18744738,0.0027255828,0.009680351,0.30735803,0.13506086,0.929951,0.46080446,0.98367554,0.81219786,0.09276993,0.97313875,0.9747731,0.9328214,0.8860759,0.4627158,0.1066906,0.5145528,0.12278593,0.42892095,0.48097387
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\real\original\00114.mp4,case1_original,original,real,0,0.16749084,0.14390808,0.18184365,0.13986564,0.27430278,0.19061102,0.015603532,0.14712578,0.047646955,0.05649606,0.0016388679,0.0001141224,0.00037409563,0.0042069694,0.000235052,0.6225741,0.52265906,0.94844174,0.8378523,0.00064368563,0.4597052,0.55410856,0.87256473,0.9135609,0.42158157,0.0015947326,0.025202822,0.012673735,0.002575881,0.0027629987
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\real\original\00129.mp4,case1_original,original,real,0,0.12586902,0.15361266,0.0472937,0.066873245,0.18594721,0.19234964,0.083890386,0.18111832,0.1504652,0.118742295,0.046507955,0.0021364212,0.023734689,0.106458135,0.5742754,0.93403506,0.9604354,0.9954615,0.61751264,0.009821794,0.9886901,0.99863297,0.9925249,0.99554896,0.98197925,0.067362405,0.9511876,0.642881,0.88059187,0.9531007
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\real\original\00139.mp4,case1_original,original,real,0,0.3475371,0.1466974,0.17161581,0.18330106,0.14922117,0.19950289,0.122051544,0.22573783,0.12603028,0.11177335,0.008694533,0.00044421837,0.004914949,0.025011599,0.0029694452,0.8193158,0.6489114,0.995488,0.9324533,0.18017879,0.94934165,0.84702116,0.992725,0.8739159,0.84195566,0.15823938,0.54421103,0.6038442,0.61072195,0.86493915
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\real\original\00143.mp4,case1_original,original,real,0,0.11716748,0.10203596,0.21178338,0.117016025,0.112746544,0.19219798,0.05037733,0.15804437,0.11501305,0.05975658,0.011201214,0.00088132435,0.008315779,0.00324136,0.0045384313,0.9983865,0.7699463,0.9956262,0.8005361,0.16465074,0.97510713,0.9173397,0.97074324,0.8655085,0.9710193,0.49954224,0.92762595,0.91891783,0.9944343,0.674265
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\real\original\00151.mp4,case1_original,original,real,0,0.077030234,0.35956088,0.14342748,0.09907726,0.121008955,0.19181922,0.4426365,0.7354992,0.08555635,0.17902765,0.065784656,0.07276838,0.011972644,0.05797139,0.116411984,0.91625965,0.78053707,0.9654138,0.8552477,0.0039377385,0.67327225,0.77990913,0.9503189,0.8533637,0.4538064,0.023330769,0.37952211,0.08921626,0.7700327,0.67925847
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\real\original\00153.mp4,case1_original,original,real,0,0.188847,0.2654042,0.2681262,0.12907304,0.19521025,0.19740576,0.050846573,0.23699048,0.041230023,0.13857834,0.009615036,0.07362963,0.029760094,0.33130905,0.02917362,0.999708,0.9630572,0.9998455,0.9920157,0.8305941,0.99050516,0.9875803,0.99977654,0.9927532,0.99460465,0.9517288,0.97601515,0.93505055,0.9347534,0.9696707
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\real\original\00156.mp4,case1_original,original,real,0,0.14057204,0.26350465,0.18624303,0.2681741,0.2351084,0.18910892,0.007876706,0.068599865,0.0894546,0.027822025,0.03711691,0.0010987311,0.0003974364,0.020508163,0.0075919423,0.32541335,0.6382436,0.8632764,0.8183016,0.0007733057,0.17469169,0.76467204,0.9449439,0.68101126,0.09721884,0.0102883,0.90523857,0.2247353,0.052618954,0.8076124
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\real\original\00162.mp4,case1_original,original,real,0,0.24422778,0.10194652,0.12689333,0.18787657,0.1919328,0.19265325,0.062216982,0.12592277,0.23611969,0.16485232,0.02384809,0.0035174885,0.0023413405,0.01383528,0.0025859366,0.11516223,0.7880128,0.9846495,0.7717145,0.22802755,0.921145,0.9977787,0.87610537,0.71672696,0.9739189,0.4441579,0.8418256,0.3808741,0.9433998,0.48802796
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\real\original\00163.mp4,case1_original,original,real,0,0.25973174,0.16532342,0.09833879,0.17099196,0.12759827,0.19597849,0.058345836,0.21605289,0.1266231,0.12210386,0.053502154,0.0021912404,0.003383191,0.19345196,0.011008187,0.108471945,0.1437277,0.9459513,0.1241599,0.0033963881,0.16465074,0.65102214,0.18046747,0.68838984,0.0012089458,0.0039839703,0.0066411127,0.038610928,0.006413163,0.0052813343
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\fake\pika\original\fake_pika_000.mp4,case1_original,original,pika,1,0.085327424,0.3853313,0.21683958,0.20378675,0.3361131,0.18539351,0.33486128,0.0536507,0.051082738,0.08254931,0.0877982,0.047249716,0.0536755,0.087446876,0.10604083,0.7137809,0.61278045,0.94287604,0.58959824,0.015769396,0.20777677,0.30985844,0.8729984,0.2568786,0.20983377,0.0076510315,0.961171,0.39836255,0.016963702,0.4443915
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\fake\pika\original\fake_pika_001.mp4,case1_original,original,pika,1,0.28484946,0.28120816,0.36274344,0.2943671,0.22185604,0.19337577,0.8449695,0.68571275,0.7793743,0.6843893,0.41832557,0.5439082,0.29984787,0.8000679,0.8940055,0.9880504,0.92206234,0.9920157,0.88890356,0.71057814,0.9620719,0.9505489,0.9866877,0.92772424,0.9354055,0.036665846,0.7555468,0.40104255,0.545316,0.8401279
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\fake\pika\original\fake_pika_002.mp4,case1_original,original,pika,1,0.4019372,0.3716496,0.45875785,0.39018536,0.44623828,0.19578622,0.27086577,0.6982266,0.77721536,0.64382637,0.6772606,0.35062635,0.46629873,0.73048216,0.6372988,0.98054343,0.8873023,0.9983802,0.7897206,0.79905057,0.97885466,0.9727014,0.9968087,0.9743861,0.9399409,0.072243005,0.90217954,0.7594039,0.91181,0.7594931
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\fake\pika\original\fake_pika_003.mp4,case1_original,original,pika,1,0.14517595,0.35742733,0.26288915,0.20729496,0.21584621,0.18940863,0.45495644,0.8268516,0.26846167,0.18967114,0.031321116,0.061199225,0.0147711905,0.26913345,0.014531522,0.99906915,0.9382373,0.99917847,0.90553135,0.8086723,0.99671423,0.9944666,0.9995932,0.99540824,0.9861247,0.38902414,0.9858957,0.8916697,0.96267307,0.9629877
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\fake\pika\original\fake_pika_004.mp4,case1_original,original,pika,1,0.34262654,0.43901065,0.45879576,0.32055536,0.2877178,0.19034748,0.68655396,0.36698666,0.7400805,0.10617977,0.2571583,0.7307224,0.43623173,0.32167304,0.9499023,0.98272413,0.8482822,0.9980732,0.89492726,0.74706274,0.9336126,0.9800913,0.99628556,0.8052496,0.97344345,0.37992465,0.9405172,0.7090191,0.9735694,0.9034647
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\fake\pika\original\fake_pika_005.mp4,case1_original,original,pika,1,0.22422528,0.57615453,0.25483337,0.33076835,0.24211602,0.19284318,0.6849757,0.24892195,0.2479419,0.36089367,0.37062395,0.11797802,0.13875328,0.13302054,0.7445403,0.9754836,0.8965235,0.98738724,0.8585408,0.751967,0.97838473,0.9766024,0.97923523,0.8892406,0.9510514,0.099689126,0.9753431,0.74377334,0.9500878,0.8533026
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\fake\pika\original\fake_pika_006.mp4,case1_original,original,pika,1,0.26841375,0.3745762,0.26803038,0.3974121,0.3005659,0.20200992,0.7112304,0.83960253,0.79061115,0.18862271,0.31263226,0.45104316,0.3014392,0.64565074,0.70349854,0.9899282,0.9029097,0.98761624,0.95159405,0.7530129,0.9463493,0.9557341,0.94772077,0.93177354,0.9033368,0.18824935,0.95945925,0.79061115,0.9390807,0.9175246
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\fake\pika\original\fake_pika_007.mp4,case1_original,original,pika,1,0.21268138,0.40751946,0.1996979,0.2953315,0.31750563,0.19841342,0.3683489,0.5053709,0.3584653,0.12852514,0.04304285,0.049313605,0.036356665,0.4563189,0.53497696,0.9922144,0.8893848,0.99688244,0.92696756,0.82678175,0.98961186,0.9890449,0.98398626,0.92683524,0.9667888,0.38580844,0.9019207,0.9073943,0.982117,0.9224824
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\fake\pika\original\fake_pika_008.mp4,case1_original,original,pika,1,0.20955054,0.23502058,0.24494952,0.23326942,0.28897023,0.19371873,0.8528742,0.53679854,0.34692842,0.22084615,0.2174206,0.18122698,0.05157013,0.28313676,0.6095242,0.9867517,0.9349913,0.9950563,0.937669,0.8470844,0.9975466,0.997537,0.9958901,0.96518475,0.97800976,0.7208598,0.95606345,0.84376645,0.77551985,0.9627432
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\fake\pika\original\fake_pika_009.mp4,case1_original,original,pika,1,0.3769671,0.46498507,0.4717936,0.38580844,0.31806138,0.20149878,0.9307421,0.92310846,0.77304506,0.5185767,0.22101425,0.4717708,0.59982216,0.7064943,0.82983696,0.99996996,0.9744591,0.9992175,0.97889495,0.9921537,0.99852777,0.9981104,0.9990872,0.9908035,0.9953544,0.76330733,0.9816127,0.9221325,0.98871195,0.9865458
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\fake\pika\original\fake_pika_010.mp4,case1_original,original,pika,1,0.39694446,0.4191148,0.38508555,0.44823003,0.35047695,0.19410035,0.71381825,0.8875462,0.67370176,0.4817281,0.50804067,0.42083204,0.14523655,0.29416427,0.67057115,0.9729081,0.9491062,0.9935993,0.9437636,0.92043275,0.99896574,0.9960699,0.99945253,0.99580115,0.9800913,0.52403694,0.80685264,0.7973991,0.63539124,0.9238675
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\fake\pika\original\fake_pika_011.mp4,case1_original,original,pika,1,0.34981033,0.36364692,0.45914435,0.3655416,0.3754202,0.19997117,0.7687332,0.94208187,0.6791787,0.50848305,0.6474361,0.71143085,0.5185462,0.5523586,0.77670765,0.9839091,0.98302,0.99324185,0.99155444,0.9337335,0.98609793,0.9941801,0.997981,0.98403233,0.9891187,0.81427443,0.96969944,0.76260096,0.97394365,0.94834626
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\fake\pika\original\fake_pika_012.mp4,case1_original,original,pika,1,0.43154678,0.38179561,0.35008803,0.39144957,0.2799269,0.19326153,0.6337503,0.8489096,0.6990362,0.42153695,0.40614042,0.46059215,0.13828714,0.26946977,0.6491478,0.86860406,0.902824,0.99604684,0.9083337,0.69657785,0.9755304,0.98220253,0.99765414,0.72628,0.88780177,0.95362175,0.97856975,0.8655085,0.98569053,0.97953105
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\fake\pika\original\fake_pika_013.mp4,case1_original,original,pika,1,0.35692284,0.34045777,0.38951752,0.3422967,0.33006617,0.19540209,0.7111802,0.878627,0.88871056,0.557755,0.3613337,0.4036256,0.19253936,0.34908882,0.2220247,0.9999145,0.97259754,0.9987356,0.93505055,0.9610615,0.9978002,0.99818975,0.9999132,0.9785493,0.997981,0.8356848,0.9807288,0.9287327,0.9614977,0.9590777
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\fake\pika\original\fake_pika_014.mp4,case1_original,original,pika,1,0.27654397,0.24544656,0.23440666,0.29148483,0.17161581,0.18724412,0.6347113,0.12940273,0.48401424,0.114963345,0.07094482,0.33120084,0.07864238,0.16334532,0.15520649,0.9995876,0.9361684,0.9997125,0.8990771,0.8997397,0.9979007,0.9953181,0.99966335,0.9916033,0.9946774,0.77534974,0.96249723,0.745491,0.9882902,0.9631959
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\fake\pika\original\fake_pika_015.mp4,case1_original,original,pika,1,0.46351257,0.50045776,0.44343472,0.49636847,0.39685678,0.19574778,0.78043246,0.9004423,0.6631784,0.61398906,0.8133867,0.6788062,0.4900831,0.6016521,0.73326087,0.98873377,0.94539934,0.9990854,0.9259697,0.82147413,0.9893885,0.9801673,0.99642736,0.9488225,0.9509376,0.6412539,0.9631959,0.8540954,0.98965186,0.9729595
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\fake\pika\original\fake_pika_016.mp4,case1_original,original,pika,1,0.42468038,0.43082073,0.35556507,0.43804136,0.31557775,0.19744445,0.73911655,0.8622937,0.84321856,0.4515079,0.869991,0.89256257,0.6044354,0.5972409,0.72802377,0.97369474,0.93367314,0.9980732,0.9462003,0.85262895,0.99338466,0.9909622,0.99929166,0.9916681,0.9811669,0.63288575,0.96391606,0.7962924,0.9676251,0.97346866
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\fake\pika\original\fake_pika_017.mp4,case1_original,original,pika,1,0.19027226,0.15178062,0.14336751,0.15655571,0.1302301,0.19647908,0.2552044,0.8702117,0.799129,0.4294593,0.14110379,0.010278361,0.049658105,0.15234725,0.29645053,0.99962735,0.94458723,0.99967945,0.9451974,0.9144437,0.9993563,0.98926485,0.99900347,0.99193794,0.97953105,0.66985285,0.94127744,0.8578277,0.9784466,0.8178656
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\fake\pika\original\fake_pika_018.mp4,case1_original,original,pika,1,0.3605172,0.29477292,0.2748377,0.22524616,0.23899394,0.19555569,0.88498694,0.90657043,0.39754364,0.5165345,0.4205401,0.70181525,0.6079541,0.52471435,0.5376483,0.99653685,0.9720721,0.99835473,0.943608,0.8869111,0.99889696,0.99709916,0.9996513,0.9966168,0.97933435,0.9003547,0.97046465,0.9247557,0.9933717,0.93439513
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\fake\pika\original\fake_pika_019.mp4,case1_original,original,pika,1,0.19261529,0.28886992,0.16231364,0.19930801,0.23270224,0.19471212,0.23423146,0.8296991,0.24666941,0.14432968,0.14891149,0.17603327,0.46502307,0.6078523,0.27894375,0.9759923,0.9514138,0.9948303,0.94791394,0.9722571,0.99540824,0.9970822,0.99937856,0.99158704,0.9692369,0.5595096,0.9240048,0.7949427,0.9662198,0.9627783
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\fake\pika\original\fake_pika_020.mp4,case1_original,original,pika,1,0.37567782,0.3907083,0.3825162,0.38124835,0.36065793,0.19310935,0.9242787,0.17863329,0.66698503,0.19064869,0.12126887,0.68275887,0.059537485,0.58945054,0.61926985,0.9977743,0.95159405,0.99869555,0.95447797,0.9813107,0.99894744,0.99813974,0.99995446,0.99407744,0.9973218,0.90574,0.97903574,0.93674946,0.98961186,0.9820999
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\fake\pika\original\fake_pika_021.mp4,case1_original,original,pika,1,0.40875977,0.4070737,0.36741212,0.41019502,0.39473307,0.2069742,0.9551939,0.91789335,0.97366965,0.61500835,0.7787335,0.70947224,0.8166259,0.8660759,0.9805248,0.95791227,0.93726826,0.95400894,0.95430803,0.798344,0.96637875,0.98545444,0.98932695,0.9400236,0.97517824,0.85627234,0.9820655,0.8505928,0.9250271,0.95388025
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\fake\pika\original\fake_pika_022.mp4,case1_original,original,pika,1,0.40524274,0.42113516,0.41287038,0.39185676,0.45712915,0.19713515,0.70324385,0.37119362,0.735024,0.2659758,0.44108608,0.70214725,0.530723,0.84727407,0.9523531,0.7151754,0.9389689,0.9281487,0.906777,0.5721551,0.81772006,0.98287266,0.96312666,0.72787875,0.9382939,0.17874077,0.80201334,0.7119319,0.69035035,0.67437226
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\fake\pika\original\fake_pika_023.mp4,case1_original,original,pika,1,0.39592218,0.42400947,0.28227037,0.4213137,0.27168626,0.19667187,0.94969267,0.6781671,0.87883514,0.5624394,0.4312099,0.39033058,0.15856484,0.7738579,0.91030645,0.9958901,0.9500878,0.9929472,0.97494066,0.69357675,0.98283976,0.98164797,0.9978884,0.97394365,0.95626813,0.53603965,0.97708833,0.8607792,0.97110176,0.87557435
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\fake\pika\original\fake_pika_024.mp4,case1_original,original,pika,1,0.4102541,0.5138514,0.40391213,0.47976267,0.4201553,0.19678761,0.5030212,0.6286639,0.41099265,0.3045068,0.2991052,0.21964075,0.5089102,0.6069354,0.8684367,0.9987649,0.9499023,0.9996679,0.97254544,0.90303797,0.9763331,0.9869669,0.9984633,0.97601515,0.9764681,0.8393393,0.9257686,0.83134854,0.9950755,0.92455155
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\fake\pika\original\fake_pika_025.mp4,case1_original,original,pika,1,0.23926045,0.42649326,0.33535084,0.27997613,0.4478225,0.19197065,0.5380731,0.31441882,0.09170697,0.18543038,0.70568365,0.037538007,0.028925719,0.6016228,0.5823723,0.996682,0.9347534,0.99954873,0.9175984,0.8267118,0.9725715,0.9873384,0.9989617,0.943608,0.9762654,0.9499951,0.95331854,0.9296961,0.995008,0.93263763
